Age,CrackWidth,VibrationLevel,LoadStress,WeatherImpact,MaintenanceScore,FailureRisk
52,12.151104445871457,13.985176923573961,43.404545330716765,9,8,0
93,4.8870631092930905,47.119350955111656,88.27868590135397,4,3,1
15,9.964953956978803,43.66683308619239,75.74467248629112,10,8,0
72,6.60696962561828,8.088210567605481,68.29418539566294,5,3,0
61,18.67383647519749,39.31379783785472,81.66165360065689,7,10,1
21,0.1506872626814948,28.729369115888332,77.86207314355441,4,7,0
83,4.506655954250565,28.32876810857093,13.2344807429398,1,2,0
87,7.307136393481153,19.55213815290872,45.52609184603453,9,4,0
75,9.756196016174759,25.057649959100488,93.77265675848409,4,6,1
75,17.016350356722924,19.858938871460552,21.31518420930036,9,9,0
88,1.7577524908028774,26.98663093799714,76.33868953888461,6,5,1
24,16.11729773482287,31.397502638631792,97.71326302017967,1,9,0
3,1.1130697871395068,33.71519032045242,14.697876614047447,3,5,0
22,16.846280705963633,26.62405962797131,71.39744925639494,2,10,0
53,1.0327095574902567,36.07110336643659,52.133872717092736,9,8,0
2,0.3648496285672209,7.06390246377529,62.12577298372499,1,1,0
88,13.93922924732843,10.599124545111927,17.68072028358924,9,7,1
30,19.945110695367887,40.93675020371351,13.870625668024553,9,4,1
38,17.932205259480416,16.126398892320758,70.01799944958296,8,5,1
2,11.5199683561132,1.1446912488060124,84.09784868386461,8,6,1
64,18.347912261710633,7.689557483401554,80.38138014396705,1,5,1
60,0.10600012795210834,11.180721724815562,58.94251550796136,8,1,0
21,19.50134325890285,47.86614439472936,18.988013902256036,10,9,0
33,9.81497558517569,28.652071446542465,71.92399994524123,3,2,0
76,14.457921932435514,46.63653702381274,31.769999519873135,7,9,0
58,16.417229463067052,28.758167524831247,91.99618324906453,1,10,1
22,14.369145416731072,23.96772200689259,85.44388235911345,1,2,0
89,10.700734640898212,15.686384559704802,73.84446703786517,10,9,1
49,9.53238968252824,30.31854722166878,95.39613602480173,5,6,0
91,16.771651174052494,6.959901230876492,12.827963936014564,5,9,0
59,4.101551202989182,44.913081364635296,76.25803825546858,8,6,1
42,19.359881330084686,41.466620257064186,39.72185014027648,7,6,0
92,14.219049576734966,15.876572393836852,91.54592971177287,8,2,1
60,3.9901385467663952,47.63987638006471,34.000767699577985,6,8,0
